³ó°¡¸í,week,°³Ã¼¹øÈ£,ÃÊÀå,¿±¼ö,¿±Àå,¿±Æø,¿±º´Àå,°üºÎÁ÷°æ,È­¹æº°Âø°ú¼ö
31,14,2,41.36666667,10,13.03333333,8.533333333,23.46666667,17.58,8
31,14,3,39.83333333,8,12.93333333,9.333333333,22.16666667,16.84,8
31,14,4,39.03333333,9,11.36666667,8.333333333,21.4,17.12666667,8
31,15,1,37.46666667,7,12.6,9,18,17.22666667,8
31,15,2,41.23333333,9,13.06666667,8.566666667,22.93333333,17.96,9
31,15,3,40.66666667,8,12.86666667,9.166666667,20.33333333,18.18,7
31,15,4,39.06666667,8,11.23333333,8.166666667,21.3,18.45333333,9
31,16,1,37.2,7,12.4,9,18,17.29,8
31,16,2,41.1,9,13.1,8.6,22.4,18.34,10
31,16,3,41.5,8,12.8,9,18.5,19.52,7
31,16,4,39.1,8,11.1,8,21.2,19.78,10
31,17,1,38.1,7,9,6.4,17,16.66,7
31,17,2,40.8,9,8.1,6,19.2,16.8,10
31,17,3,39.1,8,7.9,6.1,16.8,19.34,7
31,17,4,39.2,8,11.2,8.1,20.8,17.52,9
31,18,1,38.5,10,8.7,6.4,16.8,18.02,6
31,18,2,41.1,11,8.2,6,18.2,18.22,8
31,18,3,39.2,8,8.1,6.2,16.5,20.89,7
31,18,4,39.2,8,6.8,5.7,17.8,19.2,7
31,19,1,38,9,9,6.3,17.1,18.93,5
31,19,2,41.2,9,8.1,5.9,19.7,19.02,8
31,19,3,38.5,9,8.1,5.8,16.7,20.51,7
31,19,4,39.2,9,6.7,5.6,17.5,16.22,7
31,20,1,38.5,9,9,6.4,17.2,17,4
31,20,2,41.8,9,8.3,6.2,19.2,17.88,8
31,20,3,39.2,8,8.2,6.1,16.1,18.91,7
31,20,4,39.5,7,6.6,5.7,18.8,15.31,6
31,21,1,38.6,9,6.2,4.3,9,17.53,4
31,21,2,40.2,10,6,5.1,11,17.6,9
31,21,3,39.2,10,8.2,6,16.4,18.6,7
31,21,4,39.5,9,6.8,5.8,19.2,15.76,5
31,22,1,38.5,10,6.1,4.5,9.5,17.78,3
31,22,2,42,10,6.1,5.2,11.4,17.66,8
31,22,3,39.2,10,7,5.5,12,19.02,5
31,22,4,40.1,10,5.5,4.7,8.5,15.71,4
31,23,1,38.5,10,7.5,6.7,11.4,18.14,4
31,23,2,42,11,8.2,6.5,13,19.35,6
31,23,3,40,10,7.7,6.6,15.5,19.02,8
31,23,4,39.8,9,6.6,4.6,10,16.68,3
31,24,1,39.4,9,7.5,6.9,13.4,16.66,7
31,24,2,42.2,10,8.2,6.8,14.2,19.69,9
31,24,3,40.1,9,8.5,7.2,18.1,16.69,9
31,24,4,40.2,11,7.5,5.5,15.2,15.58,5
31,25,1,39,9,8.4,7.5,14.2,17.37,9
31,25,2,42.5,10,8.5,6.7,15,19.45,8
31,25,3,40.7,10,8.7,7.5,18.2,15.57,10
31,25,4,40.2,9,8.2,6.4,16.8,15.71,6
31,26,1,39.6,9,8.6,7.2,14.1,17.7,8
31,26,2,41,9,9.6,8.1,21.5,19.24,5
31,26,3,39.7,10,10.3,8.3,25.2,16.27,8
31,26,4,40.2,10,8.6,7.1,13,15.94,7
31,27,1,38.4,9,9.8,6.8,20.6,21.69,4
31,27,2,37.5,9,9.9,8.1,22.4,19.64,3
31,27,3,39.5,10,11.3,8,20.4,16.88,6
31,27,4,36.8,9,10.4,8.7,21.7,15.13,5
31,28,1,38.6,11,9.8,7.5,22.2,20.3,2
31,28,2,37.5,10,9.7,8.1,21.4,19.85,1
31,28,3,39,9,11.3,8.6,21.4,16.88,3
31,28,4,37.4,10,10.3,9,22.8,14.52,3
31,29,1,42.2,11,11,9.8,21.1,19.17,4
31,29,2,41,10,11.3,9.3,23,19.2,3
31,29,3,46.2,10,11.7,8.7,22.8,17.22,4
31,29,4,37.1,9,11.9,9.8,21.5,14.47,2
31,30,1,45.2,10,11,9,25.7,18.16,4
31,30,2,42,9,11.8,9.7,23.5,18.95,2
31,30,3,48.8,8,10.4,8.7,30.4,16.45,3
31,30,4,38,9,11,8,23.5,15.95,2
34,4,1,30,7,12,11,12.5,16.5,0
34,4,2,25.5,9,11.5,10.5,11,14.6,0
34,4,3,28,8,11,10.5,11.5,15.5,0
34,4,4,30.5,7,11.5,10,14,14.8,0
34,5,1,31,7,13.2,11.5,15.5,16.9,0
34,5,2,26.5,10,12,10.5,11.5,14.9,0
34,5,3,25,7,11,10.5,15.5,16,0
34,5,4,33,7,12,10,16,15,0
34,6,1,31,8,13.5,12,13,16.6,0
34,6,2,27,12,10.5,10,12.5,15,0
34,6,3,25,7,12.5,12,11.5,16.3,0
34,6,4,34,8,12,10.5,19,15.2,0
34,7,1,32,7,11.4,10.3,13,16.9,2
34,7,2,28,9,10.5,8.5,14.5,15.8,1
34,7,3,25,7,12.5,10,9,16.9,1
34,7,4,34,7,12,10.5,19,15.6,0
34,8,1,32,9,12,10.5,13.5,16.5,6
34,8,2,28,7,11,8.5,15,15.1,7
34,8,3,25,7,13,11,9.5,17.1,3
34,8,4,35,8,13.5,10,17.5,16,3
34,9,1,32,8,12,10,17.5,16.8,13
34,9,2,29,7,11.5,10,16.5,15.5,13
34,9,3,25,9,9.2,8,13.5,17.2,7
34,9,4,35,9,10.5,9.5,18,16.4,7
34,10,1,32.5,8,12.5,10,18,16.7,13
34,10,2,29.5,5,11.5,10,17,15.8,14
34,10,3,25.5,9,9.5,8,14,17.3,9
34,10,4,35.5,9,10.5,9.5,18,16.8,10
34,11,1,32.5,9,10.2,8,15,17.5,13
34,11,2,29.7,7,11.5,9,14.5,16.3,17
34,11,3,27.5,8,9,8,16,17.3,10
34,11,4,35.5,10,11,10,19,17.1,12
34,12,1,33,9,10.5,8,15,17.6,11
34,12,2,30,8,11.5,9,15.5,16.5,18
34,12,3,28.5,9,8.5,8,17,17.4,9
34,12,4,35.5,9,9,7,15,17.4,11
34,13,1,33.5,9,10.5,8,15,17.8,10
34,13,2,30,8,11.5,9,15,16.7,17
34,13,3,28.5,10,9,8,17,17.5,8
34,13,4,35.5,11,9.5,7,15,17.6,10
34,14,1,33.5,9,10.66666667,8,15.5,17.8,10
34,14,2,30,8,11.5,9,15.33333333,16.8,16
34,14,3,28.5,9,9,8,17,17.53333333,7
34,14,4,35.5,11,9.633333333,7.233333333,15.16666667,17.7,11
34,15,1,33.5,9,10.83333333,8,16,17.8,10
34,15,2,30,8,11.5,9,15.66666667,16.9,15
34,15,3,28.5,8,9,8,17,17.56666667,7
34,15,4,35.5,11,9.766666667,7.466666667,15.33333333,17.8,12
34,16,1,33.5,9,11,8,16.5,17.8,10
34,16,2,30,8,11.5,9,16,17,14
34,16,3,28.5,8,9,8,17,17.6,7
34,16,4,35.5,11,9.9,7.7,15.5,17.9,14
34,17,1,32,9,9.5,6,15,17.9,8
34,17,2,30,9,7.2,5.5,14,17.2,11
34,17,3,28.6,8,6.9,5,10.5,17.7,3
34,17,4,35.8,11,6.7,5.2,15.3,17.9,9
34,18,1,32.5,9,9.3,5.8,15,18,4
34,18,2,30.3,9,7.5,5.5,13,17.3,7
34,18,3,29,9,7,4.8,10.5,17.8,3
34,18,4,36,10,7,5,16,18,9
34,19,1,33,10,9.5,6,14.5,18.1,4
34,19,2,30.5,9,7.6,5.5,13.9,17.3,4
34,19,3,29,8,7.3,5.3,10,17.9,3
34,19,4,36.3,10,7.1,5.1,15.2,18.1,8
34,20,1,33.2,10,6.5,5.3,7.5,18.1,4
34,20,2,30.5,9,7.7,5.9,14.3,17.4,2
34,20,3,30.5,8,8.5,7.3,15.5,18,5
34,20,4,35,10,7,5.2,16.4,18.1,7
34,21,1,33.5,9,6.4,5.2,9.2,18.2,3
34,21,2,30.7,8,7.7,5.9,14,17.5,2
34,21,3,31.6,9,8.4,7.3,16.3,18.2,3
34,21,4,35,11,6.2,5.1,12,18.1,5
34,22,1,33.9,10,6.7,5.5,10,18.2,4
34,22,2,30.8,8,6.8,5.5,5.3,17.6,1
34,22,3,31.8,9,8.5,7.2,16.3,18.3,4
34,22,4,35.1,12,6.2,5.4,11,18.3,5
34,23,1,33.9,11,7.6,5.6,11,18.3,4
34,23,2,31,9,8,6.1,8,17.7,1
34,23,3,31.9,11,9,7.7,17,18.4,3
34,23,4,35.1,12,6.4,5.5,11.5,18.5,3
34,24,1,34,12,8.7,6.4,10.8,18.4,7
34,24,2,31.2,11,8.3,6.7,9.3,18,0
34,24,3,32,10,7.6,6.2,10,18.5,2
34,24,4,35.5,12,8.2,6,10.5,18.7,3
34,25,1,34.2,11,8.7,6.6,10.9,18.6,5
34,25,2,31.2,10,8.6,6.7,8.8,18.2,3
34,25,3,32.5,10,8,6.2,10,18.6,4
34,25,4,35.5,14,8.5,6.3,11,18.8,3
34,26,1,34.3,10,7.7,6.5,8.3,18.7,5
34,26,2,31.2,13,8.6,6.6,9.4,18.3,3
34,26,3,33,12,7.6,6.2,11,18.7,4
34,26,4,35.5,14,7.9,6.2,11.5,18.9,3
34,27,1,19.5,6,8.3,6.7,9.8,17.6,3
34,27,2,22.5,8,8.7,6.5,9,17.4,3
34,27,3,33.5,10,7.7,6.5,11,17.8,3
34,27,4,30,12,9.7,7.4,13.6,17.9,4
34,28,1,20.5,7,8.6,7,10.4,17.6,2
34,28,2,22.5,7,7.6,6.2,10.2,17.4,4
34,28,3,30.5,11,7.7,6.6,10.7,17.9,7
34,28,4,30.3,13,9.3,7.1,12.9,17.9,3
34,29,1,26.5,8,9.2,7.3,16.4,17.6,2
34,29,2,26,9,8.6,7.6,16.3,17.4,6
34,29,3,32.2,13,7.7,6.9,10.2,17.9,6
34,29,4,35,16,9,8.1,14.1,17.9,2
34,30,1,28,7,9.8,8,16.5,17.6,3
34,30,2,32.8,9,9.3,8.4,17.7,17.5,4
34,30,3,33,9,10.1,7.9,16.2,17.9,7
34,30,4,35.5,14,11.1,8.5,19.8,17.9,3
38,4,1,25.99,6,9.39,7.31,11.35,13.13,0
38,4,2,25.87,6,9.09,7.02,11.55,12.82625,0
38,4,3,23.96,5,8.53,6.85,11.12,12.16875,0
38,4,4,27.36,6,8.31,6.78,12.64,12.78875,0
38,5,1,29.1,3,8.7,7,8.8,13.11,0
38,5,2,24.6,5,9.8,8.2,11.6,12.79,0
38,5,3,23.1,5,8.8,7.2,8.9,12.91,0
38,5,4,32.5,4,8.5,7.1,10.2,12.65,0
38,6,1,29.2,5,8.1,6.7,4,14.41,0
38,6,2,24.2,5,7.1,8.3,5.4,13.55,0
38,6,3,23.1,4,8.5,7.3,5.5,13.73,0
38,6,4,28.5,5,8.5,7.1,6.1,14.24,0
38,7,1,28.4,6,9.1,7.5,9.4,14.76,0
38,7,2,23.4,6,8.1,7.7,6,13.79,0
38,7,3,21.7,5,9.2,7.7,9,14.37,0
38,7,4,26.5,6,8.4,7.3,7.2,15.8,0
38,8,1,18,8,10.1,8.5,5.8,16.06,0
38,8,2,23.1,7,8.6,8,8,15.4,0
38,8,3,21,6,9.9,9.3,7.2,15.5,0
38,8,4,20.6,6,9.1,8.5,6,15.61,0
38,9,1,19.1,9,10,8.6,6.7,16.86,1
38,9,2,22.8,9,10.1,9.1,8,15.84,0
38,9,3,20.5,7,10,8.9,8.4,14.94,1
38,9,4,21.7,7,10.2,9.6,12.7,16.77,1
38,10,1,21.1,6,9.9,8,9.8,15.49,3
38,10,2,23.1,8,9.4,8.3,8.8,16.18,3
38,10,3,21.2,7,10.2,9.1,10.3,16.1,6
38,10,4,20.5,6,10.2,8.5,8.1,15.37,4
38,11,1,22.4,6,10.5,8.4,10.7,16.5,9
38,11,2,22.6,7,9.8,8.5,10,16.48,6
38,11,3,22.4,7,10.4,9.6,10.5,16.09,8
38,11,4,22.5,7,10.2,9,9.4,15.87,7
38,12,1,23,7,10.5,8.4,10.7,16.77,9
38,12,2,23.3,7,10.1,8.8,9.8,17.93,7
38,12,3,22.8,8,10.8,9.9,11.3,17.9,8
38,12,4,22,7,10.6,9.2,10.1,17.67,8
38,13,1,23.1,7,10.3,8.4,10.6,18.06,9
38,13,2,23.4,7,10,8.9,10.1,18.42,7
38,13,3,22.7,8,8.5,8.1,12.4,17.51,8
38,13,4,22,7,10.6,9.1,9.6,17.38,8
38,14,1,23.4,8,10.3,8,11.7,18.09,10
38,14,2,23.6,8,9,8,10.2,18.01,7
38,14,3,23.7,9,9.4,7.8,10.2,17.87,8
38,14,4,23.5,8,9.7,7.8,9.6,17.16,9
38,15,1,22.95,8,10.4,7.25,10.9,18.145,10
38,15,2,23.55,8,9,7.95,10.55,18.445,7
38,15,3,23.9,9,9.55,7.8,10.75,18.57,6
38,15,4,23.5,8,9.9,7.8,9.95,16.465,9
38,16,1,22.5,9,10.5,6.5,10.1,18.2,11
38,16,2,23.5,9,9,7.9,10.9,18.88,7
38,16,3,24.1,10,9.7,7.8,11.3,19.27,5
38,16,4,23.5,8,10.1,7.8,10.3,15.77,9
38,17,1,23.8,8,6.7,7.5,10.1,16.62,10
38,17,2,23.5,8,9.1,7.8,11.1,17.69,7
38,17,3,24,8,9.7,8,10.1,16.27,5
38,17,4,23.5,8,9.8,7.8,10.5,14.82,11
38,18,1,24,8,7.5,6.5,10,17.88,8
38,18,2,23.8,8,7.5,6.3,8.3,17.91,5
38,18,3,22.5,9,9.4,7.8,11.1,16.5,1
38,18,4,23.6,9,7.5,6.2,9.5,14.81,7
38,19,1,22.7,9,7,6.1,11.1,17.96,4
38,19,2,23.8,9,7.4,6.5,8.2,18.3,4
38,19,3,23.2,9,6.1,5,8.5,16.73,1
38,19,4,23.4,8,7.6,6.2,9.5,15.67,5
38,20,1,24,9,7.2,5.9,11.4,15.67,4
38,20,2,23.8,10,7.5,6.3,8.1,17.5,3
38,20,3,24.2,10,6.2,5.1,8.5,15.76,1
38,20,4,24,9,7.4,6.1,10,16.6,4
38,21,1,23.7,9,7,6,11.2,16,3
38,21,2,23.5,9,7.5,6.4,9,18.1,5
38,21,3,23.8,10,6.4,5.1,9,18.1,5
38,21,4,23.5,9,7.4,6.3,9.5,16.71,5
38,22,1,23.5,10,7,6,11.2,17.02,2
38,22,2,24,10,6.4,5.7,6.5,19.72,7
38,22,3,24.5,10,6.7,5.6,8.5,17.01,4
38,22,4,24.2,10,5.5,5,6,16.1,3
38,23,1,23.2,10,7.8,6.8,10.5,16.74,3
38,23,2,24,11,6.6,6.1,7.5,20.64,4
38,23,3,23.7,11,7,6,6.6,17.65,5
38,23,4,23.7,10,5.5,5.5,7.7,16.1,5
38,24,1,23.4,10,6.7,5.1,10.3,17,3
38,24,2,24.2,11,7.8,6.9,8,19.4,5
38,24,3,24.3,10,8.2,6.4,9.1,17.73,7
38,24,4,24.4,11,7.1,6.2,8.8,18.06,6
38,25,1,21,8,5.5,4.8,10.5,14.77,4
38,25,2,19.3,8,8,7.1,8.8,14.24,5
38,25,3,23.2,10,8.5,9.8,10.2,19.04,6
38,25,4,18.8,8,7.4,6.4,9,18.6,11
38,26,1,21.2,9,10.4,7.1,7.3,15.13,4
38,26,2,20.2,10,8.3,7.6,9,14.37,6
38,26,3,25.4,9,8.5,7.4,14,20.23,3
38,26,4,22,8,8.4,7,10.2,19.3,9
38,27,1,22,9,8.1,7,11.7,15.33,0
38,27,2,22.6,9,9.1,8.1,11.4,14.46,2
38,27,3,28.4,10,8.5,7.8,13.2,20.23,4
38,27,4,24.7,8,8,7.6,13.7,19.04,3
38,28,1,25,9,9.3,8.6,13.7,15.6,0
38,28,2,21.5,9,8.3,7,10.2,18.05,3
38,28,3,27.4,9,8.3,7,10.2,18.05,5
38,28,4,27.2,8,8.3,6.5,12.2,24.71,3
38,29,1,25.5,8,8.6,7.4,12.5,14.64,0
38,29,2,23,8,8.5,7,10.5,13.73,4
38,29,3,29.7,8,8.4,7.3,17.5,24.83,4
38,29,4,29,9,9.4,7.5,15,23.77,3
38,30,1,25.5,9,8.9,7,9,15.15,1
38,30,2,4.5,9,8.2,7.4,12,14.12,2
38,30,3,31,8,8.7,7.4,18.3,24.83,3
38,30,4,39.5,8,9.6,7.6,16.1,23.58,3
49,4,1,20,8,7.3,7,6.7,13.13,0
49,4,2,22,5,9.3,9.5,10.5,12.78875,0
49,4,3,21.7,5,8.4,8,9.4,12.16875,0
49,4,4,23.5,5,8.7,9.4,7.3,12.78875,0
49,5,1,18.5,6,7.4,7.5,7.3,12.3,0
49,5,2,23.3,4,9.6,8.1,9.5,13.9,0
49,5,3,22.5,5,9.6,9,10.5,14.82,0
49,5,4,20.4,4,10.7,9.5,8.3,16.92,0
49,6,1,18.5,9,6,5.5,5.7,19.66,0
49,6,2,23.3,5,9,8.8,11.5,15.45,0
49,6,3,24,6,9.8,8.6,10.6,15.75,0
49,6,4,22.5,4,10.7,9.8,11.7,15.79,2
49,7,1,19,10,9,6.6,8,21.38,1
49,7,2,23.3,5,9,8.8,11.5,19.14,1
49,7,3,25.3,6,10,8.9,10.8,16.55,2
49,7,4,24.5,5,11.5,10.3,12,16.44,3
49,8,1,19.1,7,6.1,5.1,10.1,19.82,3
49,8,2,23.4,5,9,8.8,11.5,19.14,3
49,8,3,26.7,7,10.4,9,16.3,17.27,5
49,8,4,26.2,4,11.3,10.2,12.5,16.7,7
49,9,1,20,7,6.8,5.6,11.4,20.07,4
49,9,2,23.8,6,8.5,7,11.6,19.27,7
49,9,3,28.5,8,10.5,8,18,17.4,9
49,9,4,26.4,5,11.7,10.4,13,17.48,9
49,10,1,20.8,9,8.1,6.5,9.5,22.09,4
49,10,2,26,7,9.6,7.6,14.5,22.42,7
49,10,3,30,8,10.5,8.3,18.5,18.69,10
49,10,4,27.7,5,12,10.5,13.2,18.4,10
49,11,1,21.8,9,8.3,6.6,9.7,22.1,4
49,11,2,27.2,7,9.8,7.9,15,22.5,7
49,11,3,31,8,10.5,8.5,18.8,19.18,11
49,11,4,28,5,12,10.7,13.5,18.56,10
49,12,1,22,11,6.3,5.2,13.5,22.26,4
49,12,2,28.5,7,10,8.5,16,23.88,6
49,12,3,32,9,10,7.3,16,21.09,10
49,12,4,29,6,10.2,7.7,15,18.62,9
49,13,1,22.5,11,6.8,5.2,13.8,22.56,3
49,13,2,28.8,8,7.5,6.2,16.5,24.84,6
49,13,3,32,10,7,6,17,22.05,9
49,13,4,29.3,6,10.2,7.7,15,20.55,7
49,14,1,23.3,12,7,5.3,14,24.23,3
49,14,2,29.1,8,8,6.4,16.8,24.96,6
49,14,3,32.5,9,7.4,6,15.3,22.87,9
49,14,4,29.6,7,6.6,5.5,12.5,20.55,7
49,15,1,23.7,12,7.3,5.5,14.2,25.02,3
49,15,2,29.5,8,8.3,6.5,17,25.78,4
49,15,3,32.6,9,7.4,6.3,15.4,23.51,8
49,15,4,29.6,7,6.8,5.6,12.5,20.67,7
49,16,1,24.1,12,7.4,5.9,14.7,25.71,5
49,16,2,29.7,6,7,4.9,14.5,26.44,4
49,16,3,33,8,7.7,6.6,15.6,23.92,7
49,16,4,29.9,7,7,5.8,12.6,21.46,8
49,17,1,24.4,12,7.7,6.2,14.9,27.77,9
49,17,2,29.9,6,7,5.1,14.5,27.35,4
49,17,3,33,8,7.7,6.6,15.7,25.12,6
49,17,4,30.1,7,7.2,6.1,12.8,23.86,11
49,18,1,24.5,12,7.8,6.5,15.2,29.68,10
49,18,2,30.2,6,7,5.3,14.8,29.5,6
49,18,3,33.1,8,7.9,6.9,15.8,26.47,5
49,18,4,30.3,7,7.5,6.1,13,25.19,9
49,19,1,24.8,11,7.8,6.6,15.4,29.7,11
49,19,2,30.3,6,7.2,5.6,14.9,29.82,7
49,19,3,33.1,8,8,6.9,15.8,27.25,6
49,19,4,30.5,7,7.7,6.4,13.3,26.79,8
49,20,1,25,11,8.1,6.7,15.4,30.56,13
49,20,2,30.5,7,5.4,4.5,11.7,30.36,7
49,20,3,33.3,8,8.3,7.1,16,28.94,8
49,20,4,30.5,8,5.4,4.2,13.8,29.38,8
49,21,1,25.2,11,8.3,6.8,15.5,31.72,13
49,21,2,30.7,7,5.7,4.7,12,31.48,8
49,21,3,33.3,8,8.5,7.3,16.3,30.12,9
49,21,4,30.7,8,5.6,4.5,14,30.15,8
49,22,1,24.8,10,8.4,6.8,15.8,31.84,13
49,22,2,31,7,5.9,4.8,12.2,32.55,9
49,22,3,27.7,7,8.8,7.5,16.5,31.57,7
49,22,4,32,7,5.9,4.7,14.1,31.81,8
49,23,1,25,10,8.6,6.9,15.9,32.16,11
49,23,2,31.2,7,6.1,5,12.4,32.94,12
49,23,3,27.9,7,8.9,7.7,16.7,32.34,9
49,23,4,32.1,7,6.2,4.9,14.2,32.73,8
49,24,1,25.3,10,8.8,7.1,16,33.09,7
49,24,2,31.4,7,6.3,5.3,12.6,33.62,12
49,24,3,28.1,7,9,7.8,16.8,33.16,10
49,24,4,32.3,7,6.3,5.2,14.4,33.7,7
49,25,1,20,5,8.9,7.2,16,33.73,3
49,25,2,32,6,6.5,5.5,12.7,34.05,7
49,25,3,23.1,5,9,7.9,16.8,33.6,10
49,25,4,28.2,6,6.5,5.3,14.6,34.28,2
49,26,1,20.5,7,3.6,3,12,33.84,2
49,26,2,32.3,6,6.7,5.8,12.9,34.25,6
49,26,3,23.5,5,9.3,8.2,17.2,33.71,8
49,26,4,29.4,6,6.7,5.7,14.9,34.35,2
49,27,1,20.8,8,3.2,2.5,10.5,33.98,0
49,27,2,32.8,7,5.4,4.2,11.2,34.36,3
49,27,3,24.7,6,8.2,6.5,13.4,34.12,8
49,27,4,30.2,8,5.4,3.5,10.2,34.45,1
49,28,1,22.5,9,2.8,2.1,8.7,34.25,0
49,28,2,33.2,7,6.2,5.4,13.4,34.45,1
49,28,3,26.5,6,8.5,6.8,15.2,34.23,3
49,28,4,31.8,9,3.5,2.8,8.5,34.58,0
49,29,1,24.6,10,2.5,2,8.2,34.54,1
49,29,2,33.8,8,5.4,4.9,10.5,34.68,1
49,29,3,27.2,7,7.5,6.3,13.7,34.45,1
49,29,4,32.3,10,3.3,2.5,7.7,34.67,0
49,30,1,25.2,10,2.8,2.4,8.7,34.68,3
49,30,2,34.5,8,5.9,5.1,10.9,34.72,2
49,30,3,27.8,7,8.1,6.8,14.5,34.55,3
49,30,4,33.2,10,3.8,2.9,8.2,34.78,1
