도,시군,품목,작기,농가명,조사일자,덩굴구분,개체번호,초장,마디수,평균절간장,줄기굵기,엽장,엽폭,엽수,암꽃수,착과수
경기,평택,오이,1,007,2020-04-08,,2,476.7,39,11.6,8.60,19.3,26.0,27,2,11
경기,평택,오이,1,007,2020-04-08,,3,357.8,33,10.8,7.30,18.7,26.0,24,1,9
경기,평택,오이,1,007,2020-04-08,,4,422.4,37,11.1,8.00,16.5,23.3,37,0,13
경기,평택,오이,1,007,2020-04-14,,1,449.4,37,12.1,7.00,18.7,25.3,23,1,4
경기,평택,오이,1,007,2020-04-14,,2,508.4,41,11.8,7.80,17.4,22.6,29,2,6
경기,평택,오이,1,007,2020-04-14,,3,389.6,36,10.8,6.90,17.5,23.6,24,1,2
경기,평택,오이,1,007,2020-04-14,,4,463.2,40,11.3,7.90,16.6,24.3,39,0,6
경기,평택,오이,1,007,2020-04-22,,1,493.4,39,12.7,7.30,20.0,27.2,24,1,7
경기,평택,오이,1,007,2020-04-22,,2,546.0,44,11.9,7.40,19.0,26.7,27,1,10
경기,평택,오이,1,007,2020-04-22,,3,417.2,37,11.3,7.00,18.2,25.9,24,1,7
경기,평택,오이,1,007,2020-04-22,,4,482.7,41,11.5,7.80,15.8,23.2,29,1,6
경기,평택,오이,1,007,2020-04-28,,1,494.2,39,12.7,8.40,19.7,27.5,22,0,8
경기,평택,오이,1,007,2020-04-28,,2,546.0,44,11.9,7.40,18.5,28.0,27,0,6
경기,평택,오이,1,007,2020-04-28,,3,417.2,37,11.3,7.30,18.0,25.7,24,0,6
경기,평택,오이,1,007,2020-04-28,,4,483.1,41,11.5,7.80,16.2,23.0,23,0,4
경기,평택,오이,1,007,2020-05-07,,1,,,,,,,,0,0
경기,평택,오이,1,007,2020-05-07,,2,,,,,,,,0,0
경기,평택,오이,1,007,2020-05-07,,3,,,,,,,,0,0
경기,평택,오이,1,007,2020-05-07,,4,,,,,,,,0,0
경기,평택,오이,1,007,2020-05-13,,1,,,,,,,,0,0
경기,평택,오이,1,007,2020-05-13,,2,,,,,,,,0,0
경기,평택,오이,1,007,2020-05-13,,3,,,,,,,,0,0
경기,평택,오이,1,007,2020-05-13,,4,,,,,,,,0,0
경기,평택,오이,1,007,2020-05-20,,1,9.0,3,3.0,6.50,12.2,13.4,3,0,0
경기,평택,오이,1,007,2020-05-20,,2,11.0,4,2.8,6.90,12.6,16.0,4,0,0
경기,평택,오이,1,007,2020-05-20,,3,8.1,2,4.0,6.00,12.2,15.6,2,0,0
경기,평택,오이,1,007,2020-05-20,,4,8.6,3,2.9,5.10,10.5,13.6,3,0,0
경기,평택,오이,1,007,2020-05-27,,1,39.1,7,5.6,8.20,20.6,26.6,7,0,0
경기,평택,오이,1,007,2020-05-27,,2,42.9,8,5.4,10.00,20.0,27.7,8,0,0
경기,평택,오이,1,007,2020-05-27,,3,40.7,8,5.1,9.40,19.8,26.0,8,0,0
경기,평택,오이,1,007,2020-05-27,,4,34.3,7,4.9,8.50,17.8,22.7,7,0,0
경기,평택,오이,1,007,2020-06-03,,1,113.0,14,8.1,8.30,23.4,31.0,14,2,0
경기,평택,오이,1,007,2020-06-03,,2,117.1,15,7.8,10.00,24.7,32.0,15,1,2
경기,평택,오이,1,007,2020-06-03,,3,114.9,14,8.2,11.20,25.0,33.0,14,2,1
경기,평택,오이,1,007,2020-06-03,,4,102.4,14,7.3,9.80,22.7,31.8,14,3,0
경기,평택,오이,1,007,2020-06-10,,1,199.1,20,10.0,8.20,23.0,32.7,20,1,5
경기,평택,오이,1,007,2020-06-10,,2,193.7,21,9.2,10.10,23.5,30.4,20,2,8
경기,평택,오이,1,007,2020-06-10,,3,204.0,21,9.7,8.80,25.2,32.2,20,2,8
경기,평택,오이,1,007,2020-06-10,,4,185.4,19,9.8,10.10,23.3,32.2,18,1,8
경기,평택,오이,1,007,2020-06-17,,1,264.5,26,10.2,9.00,22.5,29.5,24,2,7
경기,평택,오이,1,007,2020-06-17,,2,257.8,27,9.5,8.10,20.5,25.3,24,3,7
경기,평택,오이,1,007,2020-06-17,,3,274.7,27,10.2,8.80,22.7,29.8,25,2,8
경기,평택,오이,1,007,2020-06-17,,4,266.2,26,10.2,8.30,22.6,27.7,24,1,7
경기,평택,오이,1,007,2020-06-24,,1,305.2,30,10.2,7.80,21.2,25.0,22,0,10
경기,평택,오이,1,007,2020-06-24,,2,309.1,32,9.7,8.70,19.2,23.8,28,2,9
경기,평택,오이,1,007,2020-06-24,,3,325.5,31,10.5,7.40,19.7,25.0,23,0,7
경기,평택,오이,1,007,2020-06-24,,4,325.0,31,10.5,7.30,20.6,24.9,14,0,4
경기,평택,오이,1,007,2020-07-01,,1,353.2,35,10.1,7.50,19.0,23.8,19,1,6
경기,평택,오이,1,007,2020-07-01,,2,341.1,36,9.5,6.30,17.2,20.8,18,0,8
경기,평택,오이,1,007,2020-07-01,,3,378.6,36,10.5,8.10,,,18,2,7
경기,평택,오이,1,007,2020-07-01,,4,387.8,36,10.8,6.80,19.8,24.4,19,0,8
경기,평택,오이,1,007,2020-07-08,,1,393.9,39,10.1,6.70,19.0,24.3,22,1,6
경기,평택,오이,1,007,2020-07-08,,2,372.1,38,9.8,5.70,16.0,18.8,18,0,5
경기,평택,오이,1,007,2020-07-08,,3,423.5,41,10.3,6.60,21.2,26.1,23,2,8
경기,평택,오이,1,007,2020-07-08,,4,441.0,42,10.5,6.90,21.0,24.1,23,1,10
경기,평택,오이,1,007,2020-07-15,,1,461.2,43,10.7,7.10,21.5,23.4,26,1,8
경기,평택,오이,1,007,2020-07-15,,2,431.6,44,9.8,6.30,13.7,16.5,24,2,3
경기,평택,오이,1,007,2020-07-15,,3,486.7,45,10.8,9.20,21.8,24.0,27,1,6
경기,평택,오이,1,007,2020-07-15,,4,492.0,46,10.7,7.90,20.0,21.5,22,0,8
경기,평택,오이,1,007,2020-07-22,,1,532.0,48,11.1,7.20,25.0,29.0,27,2,7
경기,평택,오이,1,007,2020-07-22,,2,496.3,49,10.1,6.40,18.2,20.3,26,0,9
경기,평택,오이,1,007,2020-07-22,,3,551.9,50,11.0,7.20,23.7,27.0,29,0,11
경기,평택,오이,1,007,2020-07-22,,4,557.9,52,10.7,6.80,20.4,24.2,23,0,9
경기,평택,오이,1,007,2020-07-29,,1,599.4,53,11.3,7.60,14.0,29.4,23,2,5
경기,평택,오이,1,007,2020-07-29,,2,549.7,54,10.2,7.40,18.5,24.4,23,0,5
경기,평택,오이,1,007,2020-07-29,,3,618.4,56,11.0,7.20,20.4,25.6,29,5,5
경기,평택,오이,1,007,2020-07-29,,4,606.0,57,10.6,7.80,20.3,25.7,24,2,8
경기,평택,오이,2,007,2020-09-17,,1,24.4,5,3.5,7.80,15.2,18.0,7,0,0
경기,평택,오이,2,007,2020-09-17,,2,27.4,5,3.9,6.90,15.0,19.3,7,0,0
경기,평택,오이,2,007,2020-09-17,,3,31.4,6,4.5,7.70,15.3,21.3,7,0,0
경기,평택,오이,2,007,2020-09-17,,4,31.2,6,3.9,7.70,14.8,20.3,8,0,0
경기,평택,오이,2,007,2020-09-23,,1,67.3,9,6.1,8.70,16.0,26.3,11,0,0
경기,평택,오이,2,007,2020-09-23,,2,77.7,10,7.1,8.80,20.6,31.0,11,0,0
경기,평택,오이,2,007,2020-09-23,,3,79.9,10,7.3,7.40,19.7,29.0,11,0,0
경기,평택,오이,2,007,2020-09-23,,4,73.7,10,6.7,8.90,19.8,29.2,11,0,0
경기,평택,오이,2,007,2020-10-08,,1,227.0,20,10.3,10.80,25.2,33.6,22,2,7
경기,평택,오이,2,007,2020-10-08,,2,251.7,21,11.4,9.40,25.2,33.0,22,0,5
경기,평택,오이,2,007,2020-10-08,,3,247.4,21,11.2,7.20,25.0,34.2,22,0,5
경기,평택,오이,2,007,2020-10-08,,4,235.9,21,10.7,10.00,24.5,33.4,21,0,7
경기,평택,오이,2,007,2020-10-15,,1,291.6,24,11.2,9.00,22.0,31.5,22,1,9
경기,평택,오이,2,007,2020-10-15,,2,326.4,26,12.1,10.20,22.5,31.6,22,3,4
경기,평택,오이,2,007,2020-10-15,,3,314.3,26,11.6,9.70,23.5,31.5,23,2,9
경기,평택,오이,2,007,2020-10-15,,4,282.1,25,10.8,10.60,23.4,31.5,24,1,5
경기,평택,오이,2,007,2020-10-22,,1,359.1,29,11.6,8.30,20.3,27.7,23,5,8
경기,평택,오이,2,007,2020-10-22,,2,400.5,31,12.5,8.40,21.6,28.1,22,2,7
경기,평택,오이,2,007,2020-10-22,,3,373.8,30,12.1,10.20,21.3,28.6,26,2,9
경기,평택,오이,2,007,2020-10-22,,4,340.1,29,11.3,7.80,20.2,25.2,23,3,5
경기,평택,오이,2,007,2020-10-29,,1,402.2,31,12.2,7.60,19.3,24.3,24,0,8
경기,평택,오이,2,007,2020-10-29,,2,434.7,33,12.8,9.10,21.8,28.5,23,2,7
경기,평택,오이,2,007,2020-10-29,,3,404.1,32,12.2,9.10,20.8,28.0,22,1,8
경기,평택,오이,2,007,2020-10-29,,4,382.5,32,11.6,8.70,17.7,27.9,23,2,5
경기,평택,오이,2,007,2020-11-05,,1,443.3,34,12.3,7.30,20.7,26.1,22,3,6
경기,평택,오이,2,007,2020-11-05,,2,483.7,37,12.7,7.10,20.1,25.9,23,2,7
경기,평택,오이,2,007,2020-11-05,,3,442.3,36,12.0,8.10,19.8,25.5,25,1,9
경기,평택,오이,2,007,2020-11-05,,4,430.1,36,11.6,8.50,20.4,25.0,22,1,9
경기,평택,오이,2,007,2020-11-12,,1,481.9,37,12.4,6.80,19.6,25.1,25,2,5
경기,평택,오이,2,007,2020-11-12,,2,520.8,40,12.7,7.30,21.0,26.7,21,2,7
경기,평택,오이,2,007,2020-11-12,,3,470.5,39,11.8,7.50,17.5,23.4,21,2,4
경기,평택,오이,2,007,2020-11-12,,4,466.2,39,11.7,8.10,20.1,24.5,21,1,6
경기,평택,오이,2,007,2020-11-19,,1,531.4,41,12.4,7.40,17.5,24.0,13,2,5
경기,평택,오이,2,007,2020-11-19,,2,566.3,44,12.6,7.70,19.2,27.3,13,3,5
경기,평택,오이,2,007,2020-11-19,,3,512.9,43,11.7,7.10,15.8,21.5,15,2,6
경기,평택,오이,2,007,2020-11-19,,4,505.6,42,11.8,8.20,20.2,26.3,22,3,4
경기,평택,오이,2,007,2020-11-26,,1,547.0,42,12.4,7.80,18.3,23.8,14,1,6
경기,평택,오이,2,007,2020-11-26,,2,582.1,46,12.4,7.30,17.9,24.2,15,2,6
경기,평택,오이,2,007,2020-11-26,,3,529.5,45,11.5,5.70,16.1,21.5,15,1,8
경기,평택,오이,2,007,2020-11-26,,4,523.7,44,11.6,8.00,19.1,23.1,11,1,5
경기,평택,오이,2,007,2020-12-03,,1,547.4,42,12.4,7.80,18.5,24.0,9,0,7
경기,평택,오이,2,007,2020-12-03,,2,582.1,46,12.4,7.30,17.9,24.2,9,1,8
경기,평택,오이,2,007,2020-12-03,,3,530.7,45,11.5,6.10,16.4,22.0,12,1,10
경기,평택,오이,2,007,2020-12-03,,4,0.0,0,0.0,0.00,0.0,0.0,0,0,0
경기,평택,오이,2,007,2020-12-10,,1,547.4,42,12.4,7.80,18.3,23.6,8,0,3
경기,평택,오이,2,007,2020-12-10,,2,0.0,0,0.0,0.00,0.0,0.0,0,0,0
경기,평택,오이,2,007,2020-12-10,,3,530.7,45,11.5,6.50,16.7,21.2,11,0,7
경기,평택,오이,2,007,2020-12-10,,4,0.0,0,0.0,0.00,0.0,0.0,0,0,0
경기,평택,오이,1,010,2020-04-08,,1,33.8,7,4.8,8.50,16.5,22.0,7,0,
경기,평택,오이,1,010,2020-04-08,,2,51.6,10,5.2,8.00,16.5,22.0,10,0,
경기,평택,오이,1,010,2020-04-08,,3,45.2,9,5.0,7.20,14.3,20.6,9,0,
경기,평택,오이,1,010,2020-04-08,,4,31.8,7,4.5,7.10,13.3,20.0,7,0,
경기,평택,오이,1,010,2020-04-14,,1,52.1,10,5.2,8.70,18.0,25.2,8,0,
경기,평택,오이,1,010,2020-04-14,,2,75.5,13,5.8,8.60,17.2,24.2,11,1,
경기,평택,오이,1,010,2020-04-14,,3,69.7,11,6.3,7.00,15.0,20.9,9,2,
경기,평택,오이,1,010,2020-04-14,,4,48.5,10,4.8,9.20,13.0,20.1,8,1,
경기,평택,오이,1,010,2020-04-22,,1,87.6,13,6.7,10.20,21.0,31.4,11,2,
경기,평택,오이,1,010,2020-04-22,,2,123.9,17,7.3,9.90,23.0,32.4,15,1,
경기,평택,오이,1,010,2020-04-22,,3,119.9,16,7.5,8.10,17.7,25.0,14,0,
경기,평택,오이,1,010,2020-04-22,,4,80.0,13,6.2,9.20,15.6,24.2,11,1,
경기,평택,오이,1,010,2020-04-28,,1,113.3,17,6.7,10.90,22.5,30.2,15,2,
경기,평택,오이,1,010,2020-04-28,,2,160.1,22,7.3,10.30,24.0,35.2,20,2,
경기,평택,오이,1,010,2020-04-28,,3,148.8,20,7.4,8.00,18.0,24.7,18,2,
경기,평택,오이,1,010,2020-04-28,,4,107.0,16,6.7,7.70,19.3,28.7,14,1,
경기,평택,오이,1,010,2020-05-07,,1,179.9,24,7.5,9.50,22.9,31.5,15,2,
경기,평택,오이,1,010,2020-05-07,,2,220.1,28,7.9,9.50,21.2,26.1,19,0,
경기,평택,오이,1,010,2020-05-07,,3,192.7,25,7.7,6.80,15.0,19.0,16,0,
경기,평택,오이,1,010,2020-05-07,,4,151.3,22,6.9,8.20,18.8,27.7,13,1,
경기,평택,오이,1,010,2020-05-13,,1,222.6,28,7.9,9.10,20.3,27.0,17,1,
경기,평택,오이,1,010,2020-05-13,,2,265.8,33,8.1,8.10,19.0,23.0,22,1,
경기,평택,오이,1,010,2020-05-13,,3,223.0,29,7.7,6.40,15.0,20.0,18,2,
경기,평택,오이,1,010,2020-05-13,,4,185.2,26,7.1,7.20,17.0,23.7,15,1,
경기,평택,오이,1,010,2020-05-20,,1,274.3,33,8.3,8.40,21.1,27.8,22,2,
경기,평택,오이,1,010,2020-05-20,,2,307.3,37,8.3,8.40,19.0,24.5,26,1,
경기,평택,오이,1,010,2020-05-20,,3,266.3,33,8.1,7.60,17.0,22.0,22,1,
경기,평택,오이,1,010,2020-05-20,,4,223.8,30,7.5,8.80,17.8,23.7,19,0,
경기,평택,오이,1,010,2020-05-27,,1,328.2,39,8.4,8.70,19.6,25.5,24,1,
경기,평택,오이,1,010,2020-05-27,,2,348.7,42,8.3,7.70,18.5,23.7,27,2,
경기,평택,오이,1,010,2020-05-27,,3,312.4,39,8.0,7.50,17.7,23.5,24,1,
경기,평택,오이,1,010,2020-05-27,,4,273.5,35,7.8,7.10,18.6,25.7,20,2,
경기,평택,오이,1,010,2020-06-03,,1,389.9,45,8.7,8.20,18.0,24.5,30,3,
경기,평택,오이,1,010,2020-06-03,,2,399.8,48,8.3,7.30,18.2,22.1,33,2,
경기,평택,오이,1,010,2020-06-03,,3,347.6,44,7.9,7.80,16.7,22.2,29,2,
경기,평택,오이,1,010,2020-06-03,,4,318.2,40,8.0,8.60,18.3,26.4,25,2,
경기,평택,오이,1,010,2020-06-10,,1,457.6,51,9.0,8.60,17.5,22.0,22,3,
경기,평택,오이,1,010,2020-06-10,,2,453.2,53,8.6,8.80,18.0,21.7,24,1,
경기,평택,오이,1,010,2020-06-10,,3,390.2,48,8.1,6.80,16.0,22.0,19,2,
경기,평택,오이,1,010,2020-06-10,,4,370.3,45,8.2,8.50,19.2,25.8,16,0,
경기,평택,오이,1,010,2020-06-17,,1,526.6,57,9.2,8.90,19.5,28.5,22,2,
경기,평택,오이,1,010,2020-06-17,,2,516.8,59,8.8,7.40,18.0,24.5,24,1,
경기,평택,오이,1,010,2020-06-17,,3,454.4,55,8.3,7.10,16.0,23.5,20,2,
경기,평택,오이,1,010,2020-06-17,,4,440.7,52,8.5,9.00,21.3,30.3,17,1,
경기,평택,오이,1,010,2020-06-24,,1,581.6,64,9.1,10.10,19.0,25.2,27,2,
경기,평택,오이,1,010,2020-06-24,,2,569.8,65,8.8,8.60,18.3,23.2,28,1,
경기,평택,오이,1,010,2020-06-24,,3,476.6,58,8.2,8.30,19.2,23.7,21,0,
경기,평택,오이,1,010,2020-06-24,,4,489.7,57,8.6,9.20,18.3,23.0,20,2,
경기,평택,오이,1,010,2020-07-01,,1,638.3,68,9.4,8.60,17.1,22.0,28,1,
경기,평택,오이,1,010,2020-07-01,,2,623.7,70,8.9,9.00,19.2,26.0,30,2,
경기,평택,오이,1,010,2020-07-01,,3,524.5,64,8.2,7.30,13.0,16.2,24,1,
경기,평택,오이,1,010,2020-07-01,,4,549.5,61,9.0,8.30,18.8,25.1,21,1,
경기,평택,오이,1,010,2020-07-08,,1,673.2,74,9.1,8.70,18.5,26.0,22,3,
경기,평택,오이,1,010,2020-07-08,,2,661.1,75,8.8,7.50,19.7,25.1,23,1,
경기,평택,오이,1,010,2020-07-08,,3,558.4,69,8.1,7.70,15.6,22.0,17,1,
경기,평택,오이,1,010,2020-07-08,,4,579.5,66,8.8,8.60,20.2,27.8,14,3,
경기,평택,오이,1,010,2020-07-15,,1,725.1,79,9.2,9.80,18.8,24.0,20,1,
경기,평택,오이,1,010,2020-07-15,,2,700.2,80,8.8,9.10,18.5,24.0,21,1,
경기,평택,오이,1,010,2020-07-15,,3,603.6,74,8.2,7.40,15.4,19.9,15,1,
경기,평택,오이,1,010,2020-07-15,,4,625.8,70,8.9,7.70,18.2,22.0,11,1,
경기,평택,오이,1,010,2020-07-22,,1,769.6,83,9.3,9.70,21.3,27.5,19,1,
경기,평택,오이,1,010,2020-07-22,,2,727.1,83,8.8,8.60,17.5,22.3,19,1,
경기,평택,오이,1,010,2020-07-22,,3,641.8,78,8.2,7.90,17.0,22.8,14,2,
경기,평택,오이,1,010,2020-07-22,,4,679.3,75,9.1,9.50,20.3,27.0,11,2,
경기,평택,오이,1,010,2020-07-29,,1,770.7,83,9.3,10.70,22.5,27.4,18,2,
경기,평택,오이,1,010,2020-07-29,,2,730.0,83,8.8,8.60,18.2,22.5,18,0,
경기,평택,오이,1,010,2020-07-29,,3,647.7,78,8.3,8.90,18.3,23.0,13,0,
경기,평택,오이,1,010,2020-07-29,,4,681.3,75,9.1,9.50,21.0,25.5,10,1,
경기,평택,오이,2,010,2020-09-02,,1,12.7,4,2.1,7.20,7.5,9.0,6,0,0
경기,평택,오이,2,010,2020-09-02,,2,13.5,5,2.2,5.10,8.0,9.3,6,0,0
경기,평택,오이,2,010,2020-09-02,,3,14.0,5,2.3,4.20,9.2,11.0,6,0,0
경기,평택,오이,2,010,2020-09-02,,4,18.5,5,2.6,5.20,11.6,15.0,7,0,0
경기,평택,오이,2,010,2020-09-10,,1,35.3,9,3.5,4.40,8.2,12.0,7,0,0
경기,평택,오이,2,010,2020-09-10,,2,45.7,11,4.2,5.60,12.0,16.2,8,0,0
경기,평택,오이,2,010,2020-09-10,,3,46.7,10,4.2,6.10,12.3,16.2,8,0,0
경기,평택,오이,2,010,2020-09-10,,4,76.2,13,5.9,6.20,16.1,21.2,10,0,0
경기,평택,오이,2,010,2020-09-16,,1,71.1,14,4.7,4.20,10.2,13.2,12,0,0
경기,평택,오이,2,010,2020-09-16,,2,83.8,17,4.9,7.30,15.4,21.8,14,0,0
경기,평택,오이,2,010,2020-09-16,,3,80.8,15,5.0,5.70,14.7,19.4,13,0,0
경기,평택,오이,2,010,2020-09-16,,4,126.5,20,6.3,8.80,16.6,23.0,17,0,0
경기,평택,오이,2,010,2020-09-22,,1,90.1,17,5.0,5.40,11.5,16.4,15,0,0
경기,평택,오이,2,010,2020-09-22,,2,113.1,21,5.4,7.00,17.3,25.4,18,0,0
경기,평택,오이,2,010,2020-09-22,,3,106.0,20,5.0,7.60,16.8,24.2,18,0,0
경기,평택,오이,2,010,2020-09-22,,4,171.3,25,6.9,8.50,19.5,27.0,22,1,1
경기,평택,오이,2,010,2020-10-07,,1,204.3,28,7.0,10.20,23.5,31.0,26,3,4
경기,평택,오이,2,010,2020-10-07,,2,225.2,31,7.3,10.30,23.1,31.6,28,0,11
경기,평택,오이,2,010,2020-10-07,,3,206.1,29,6.9,10.70,23.6,34.0,27,2,9
경기,평택,오이,2,010,2020-10-07,,4,279.3,35,8.0,11.20,24.7,30.8,32,3,12
경기,평택,오이,2,010,2020-10-14,,1,246.4,31,7.7,9.50,24.3,31.8,24,2,9
경기,평택,오이,2,010,2020-10-14,,2,256.9,34,7.6,9.70,18.8,22.6,19,2,13
경기,평택,오이,2,010,2020-10-14,,3,234.3,32,7.1,11.10,20.2,23.5,31,2,12
경기,평택,오이,2,010,2020-10-14,,4,293.0,35,8.4,11.20,24.5,32.0,20,2,13
경기,평택,오이,2,010,2020-10-21,,1,265.8,33,7.8,9.10,22.5,30.6,26,2,12
경기,평택,오이,2,010,2020-10-21,,2,260.1,34,7.7,11.20,18.6,22.2,19,1,0
경기,평택,오이,2,010,2020-10-21,,3,254.1,34,7.3,10.20,19.0,22.5,25,3,13
경기,평택,오이,2,010,2020-10-21,,4,292.3,35,8.4,11.50,24.7,29.5,20,0,11
경기,평택,오이,2,010,2020-10-28,,1,266.9,33,7.8,10.20,22.7,31.4,14,2,13
경기,평택,오이,2,010,2020-10-28,,2,265.8,35,7.6,11.20,18.2,22.8,14,1,10
경기,평택,오이,2,010,2020-10-28,,3,252.0,34,7.2,10.20,19.0,26.4,16,3,14
경기,평택,오이,2,010,2020-10-28,,4,298.0,35,8.5,12.30,23.4,29.2,14,0,8
경기,평택,오이,2,010,2020-11-04,,1,266.9,33,7.8,10.20,23.0,31.5,14,0,12
경기,평택,오이,2,010,2020-11-04,,2,265.8,35,7.6,11.20,18.3,23.3,14,0,7
경기,평택,오이,2,010,2020-11-04,,3,252.5,34,7.2,10.20,18.6,21.7,15,0,9
경기,평택,오이,2,010,2020-11-04,,4,298.0,35,8.5,12.30,23.3,29.1,9,0,6
경기,평택,오이,2,010,2020-11-11,,1,266.9,33,7.8,10.20,23.0,31.8,14,0,8
경기,평택,오이,2,010,2020-11-11,,2,265.8,35,7.6,11.20,18.4,23.2,13,0,4
경기,평택,오이,2,010,2020-11-11,,3,252.5,34,7.2,10.20,18.8,21.3,15,0,3
경기,평택,오이,2,010,2020-11-11,,4,298.0,35,8.5,12.30,23.5,29.7,9,0,1
경기,평택,오이,2,010,2020-11-18,,1,266.9,33,7.8,10.20,23.3,31.9,14,0,6
경기,평택,오이,2,010,2020-11-18,,2,265.8,35,7.6,11.20,18.6,23.5,13,0,1
경기,평택,오이,2,010,2020-11-18,,3,252.5,34,7.2,10.20,19.3,21.3,12,0,2
경기,평택,오이,2,010,2020-11-18,,4,298.0,35,8.5,12.70,23.5,28.4,9,0,0
경기,평택,오이,2,010,2020-11-25,,1,266.9,33,7.8,10.40,23.7,32.0,14,0,0
경기,평택,오이,2,010,2020-11-25,,2,265.8,35,7.6,11.20,18.5,23.9,13,0,0
경기,평택,오이,2,010,2020-11-25,,3,252.5,34,7.2,10.20,18.4,20.2,12,0,0
경기,평택,오이,2,010,2020-11-25,,4,298.0,35,8.5,12.70,22.7,29.0,9,0,0
경기,평택,오이,2,010,2020-12-02,,1,266.9,33,7.8,10.40,23.5,32.0,14,0,0
경기,평택,오이,2,010,2020-12-02,,2,265.8,35,7.6,11.20,18.5,23.9,13,0,0
